r_var_name,asset.grouping,inflate,wealth.type,1986,1990,1994,1995,1996,1997,1999,2000,2002,2003,2005,2007,2009,2011,2013,2015,2017
asset_non_res_prop,other.property.grouped.value,Yes,asset,,,,,,,,,VNRPRCH,VNRPRCH,VNRPRCH,,VNRPRCH,VNRPRCH,VNRPRCH,VNRPRCH,VNRPRCH
asset_offset,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,,,,,,VOFTCH,VOFTCH,VOFTCH,VOFTCH
asset_other,all.other.wealth.grouped.value,Yes,asset,,,,,,,,,VOTASSCH,VOTASSCH,VOTASSCH,,VOTASSCH,VOTASSCH,VOTASSCH,VOTASSCH,VOTASSCH
asset_loans,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,VPLNCH,VPLNCH,VPLNCH,,VPLNCH,VPLNCH,VPLNCH,VPLNCH,VPLNCH
asset_trust_all,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,VTRTCH,VTRTCH,VTRTCH,,,,,,
asset_trust_private,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,,,,,VPRTCH,VPRTCH,VPRTCH,VPRTCH,VPRTCH
asset_trust_public,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,,,,,VPUTCH,VPUTCH,VPUTCH,VPUTCH,VPUTCH
asset_house_oth,other.property.grouped.value,Yes,asset,,,,,,,,,VRPRCH,VRPRCH,VRPRCH,,VRPRCH,VRPRCH,VRPRCH,VRPRCH,VRPRCH
asset_shares,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,VSHARCH,VSHARCH,VSHARCH,,VSHARCH,VSHARCH,VSHARCH,VSHARCH,VSHARCH
asset_partnership,other.financial.assets.grouped.value,Yes,asset,,,,,,,,,,,,,VSIPCH,VSIPCH,VSIPCH,VSIPCH,VSIPCH
asset_super_gov,super.grouped.value,Yes,asset,,,,,,,,,VSUPGCH,VSUPGCH,VSUPGCH,,VSUPGCH,VSUPGCH,VSUPGCH,VSUPGCH,
asset_super_non_gov,super.grouped.value,Yes,asset,,,,,,,,,VSUPNCH,VSUPNCH,VSUPNCH,,VSUPNCH,VSUPNCH,VSUPNCH,VSUPNCH,
